"Voter Verified, Inc. v. Election Systems & Software LLC",20-Apr-18,--- F.3d ----,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ide1c6e0044b311e89d46ed79fb792237/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8aa173fd455d22%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIde1c6e0044b311e89d46ed79fb792237%26startIndex%3D401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=4f7270277591521aff0baebbe1a29e8e&list=CUSTOMDIGEST&rank=422&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F162044364596,[],"US Patent RE40,449.","['newman', 'lourie', 'reyna']",[]
"Wi-Fi One, LLC v. Broadcom Corporation",20-Apr-18,--- F.3d ----,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ib3193ad044b311e8a70fc9d8a0b2aef5/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIb3193ad044b311e8a70fc9d8a0b2aef5%26startIndex%3D701%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=752&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F122044364589,[],"US Patent 6,772,215.","['bryson', 'dyk']",['reyna']
"Everlight Electronics Co., Ltd v. Nichia Corporation",04-Jan-18,--- Fed.Appx. ----,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Ib6185cf0f1a411e7af08dbc2fa7f734f/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DIb6185cf0f1a411e7af08dbc2fa7f734f%26startIndex%3D1801%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=1891&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F22043546048,[],"US Patent 5,998,925, US Patent 7,531,960.","['hughes', 'chen', 'wallach']",[]
"Liqwd, Inc. v. L?셅r챕al USA, Inc.",16-Jan-18,--- Fed.Appx. ----,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I75204c40fd8811e7818da80a62699cb5/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a9d6359fd45c6ee%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI75204c40fd8811e7818da80a62699cb5%26startIndex%3D201%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=a8164462241e34f1d8140ef1d4d5ec51&list=CUSTOMDIGEST&rank=276&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F52043640487,[],[],"['dyk', 'reyna', 'taranto']",[]
"Polymer Indus. Products Co. v. Bridgestone/Firestone, Inc.",13-Mar-01,10 Fed.Appx. 812,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/Id4a7826d79a611d9ac1ffa9f33b6c3b0/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a9d6359fd45c6ee%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DId4a7826d79a611d9ac1ffa9f33b6c3b0%26startIndex%3D401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=a8164462241e34f1d8140ef1d4d5ec51&list=CUSTOMDIGEST&rank=445&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F62001224622,[],[],"['bryson', 'clevenger', 'schall']",[]
"Research Corp. Technologies, Inc. v. Gensia Laboratories, Inc.",23-Mar-01,10 Fed.Appx. 856,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I4aea6a4979ad11d9bf29e2067ad74e5b/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a9d6359fd45c6ee%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI4aea6a4979ad11d9bf29e2067ad74e5b%26startIndex%3D601%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=a8164462241e34f1d8140ef1d4d5ec51&list=CUSTOMDIGEST&rank=694&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F102001244850,[],[],"['lourie', 'gajarsa', 'rader']",[]
"Lencco Racing Co., Inc. v. Jolliffe",26-Mar-01,10 Fed.Appx. 865,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I4aa523e579ad11d9bf29e2067ad74e5b/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI4aa523e579ad11d9bf29e2067ad74e5b%26startIndex%3D2801%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=2813&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F22001255577,[],[],"['schall', 'dyk', 'rader']",[]
"Animatics Corp. v. Quicksilver Controls, Inc.",08-Jun-04,102 Fed.Appx. 659,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I99c326508b9d11d99dcc8cc3e68b51e9/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a8d0872fd456043%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI99c326508b9d11d99dcc8cc3e68b51e9%26startIndex%3D1001%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=26c210012e80dba21f0d0520542dedbf&list=CUSTOMDIGEST&rank=1098&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F72004611685,[],[],"['schall', 'mayer', 'linn']",[]
"Micro Chemical, Inc. v. Great Plains Chemical Co., Inc.",03-Jan-97,103 F.3d 1538,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I684a0f39940d11d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI684a0f39940d11d993e6d35cc61aab4a%26startIndex%3D3401%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=3434&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F41997023623,"US Patent 4,733,971.",[],"['mayer', 'lourie', 'archer']",[]
"U.S. Surgical Corp. v. Ethicon, Inc.",03-Jan-97,103 F.3d 1554,http://lps3.1.next.westlaw.com.libproxy.snu.ac.kr/Document/I6849e82b940d11d993e6d35cc61aab4a/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0ad74012000001633a93fa6dfd45887c%3FNav%3DCUSTOMDIGEST%26fragmentIdentifier%3DI6849e82b940d11d993e6d35cc61aab4a%26startIndex%3D301%26contextData%3D%2528sc.CustomDigest%2529%26transitionType%3DCustomDigestItem&listSource=Search&listPageSource=3c26f8b014734e3e4189b86c9aa0c090&list=CUSTOMDIGEST&rank=390&sessionScopeId=d6ac5fd5e62b12377c022c77403d2edbbb52ee3b908ca7602d7f52226be2a679&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.CustomDigest%29#co_anchor_F61997023625,[],"US Patent 5,084,057, US Patent 5,100,420.","['newman', 'bennett', 'rader']",[]
